case_id,citation,citation_style,year,court_or_series,number,volume,first_page,corpus_citation_count,parties,jade_href,parallel_citation,parallel_case_id,chunk_ref,page_ref,part_id,part_title,page_title,heading_path,chunk_ordinal,char_offset,occurrences_in_chunk,url,context
CASE/1894/RPC/11/518,(1894) 11 RPC 518,reported,1894,RPC,,11,518,1,,,,,TMM/Part22/10#1,TMM/Part22/10,Part22,Part 22 Section 41 - Capable of Distinguishing,"22.10. Phonetic equivalents, misspellings and combinations of known words","Part 22 Section 41 - Capable of Distinguishing > 22.10. Phonetic equivalents, misspellings and combinations of known words",1,1109,1,https://manuals.ipaustralia.gov.au/trademark/10.-phonetic-equivalents-misspellings-and-combinations-of-known-words,tographic Material Co's Appn (1898) 15 RPC 476 (‘Solio’)). Minor variations in spelling Adjectival form of words (see Sir Titus Salt's Appn (1894) 11 RPC 518 (‘Eboline’) and also Angelides v James Stedman Henderson Sweets Ltd (1927) 40 CLR 43 (‘Minties’)). Combinations of two or more known words 
CASE/1897/VLR/22/636,(1897) 22 VLR 636,reported,1897,VLR,,22,636,1,,,,,TMM/Part46/4/4/1/3,TMM/Part46/4,Part46,Part 46 Grounds for Opposition to Registration or Protection,Part 46.4. Grounds for opposition to registration of national trade marks,Part 46 Grounds for Opposition to Registration or Protection > Part 46.4. Grounds for opposition to registration of national trade marks > 4.1.3 Same goods or services,5,57,1,https://manuals.ipaustralia.gov.au/trademark/4.-grounds-for-opposition-to-registration-of-national-trade-marks,According to Re Hicks’ Trade Mark; Ex parte Metters Bros (1897) 22 VLR 636 the use must be in relation to goods or services that are “the same kind of thing” as the specified goods or services. This requirement was
CASE/1898/RPC/15/476,(1898) 15 RPC 476,reported,1898,RPC,,15,476,1,,,,,TMM/Part22/10#1,TMM/Part22/10,Part22,Part 22 Section 41 - Capable of Distinguishing,"22.10. Phonetic equivalents, misspellings and combinations of known words","Part 22 Section 41 - Capable of Distinguishing > 22.10. Phonetic equivalents, misspellings and combinations of known words",1,998,1,https://manuals.ipaustralia.gov.au/trademark/10.-phonetic-equivalents-misspellings-and-combinations-of-known-words,tinguish are: The addition of a diminutive or a short and meaningless syllable to a known word (see Eastman Photographic Material Co's Appn (1898) 15 RPC 476 (‘Solio’)). Minor variations in spelling Adjectival form of words (see Sir Titus Salt's Appn (1894) 11 RPC 518 (‘Eboline’) and also Angelid
CASE/1898/AC/571,[1898] AC 571,neutral,1898,AC,571,,,1,,,,,TMM/Part22/11#1~2,TMM/Part22/11,Part22,Part 22 Section 41 - Capable of Distinguishing,22.11. Words in languages other than English,Part 22 Section 41 - Capable of Distinguishing > 22.11. Words in languages other than English,2,661,1,https://manuals.ipaustralia.gov.au/trademark/11.-words-in-languages-other-than-english,"be concerned with the relevant goods. [1] Eastman Photographic Materials Company v Comptroller-General of Patents, Designs, and Trade-marks [1898] AC 571 (“the Solio Case”), [2] Philippart v William Whiteley Ltd [1908] 2 Ch 274 (""the Diabolo Case"") [3] Howard Auto-Cultivators Ltd v Webb Indus"
CASE/1904/ROC/21/617,(1904) 21 ROC 617,reported,1904,ROC,,21,617,1,,,,,TMM/Part30/2/2/3,TMM/Part30/2,Part30,Part 30 Signs that are Scandalous and Use Contrary to Law,30.2. Scandalous signs,Part 30 Signs that are Scandalous and Use Contrary to Law > 30.2. Scandalous signs > 2.3,4,207,1,https://manuals.ipaustralia.gov.au/trademark/2.-scandalous-signs,"ecisions: Trade Mark Application No. 106321 by Eric Granville Mercy (1955) 25 AOJP 938 (‘Mecca’) In the Matter of Ellis & Co.’s Trade Marks (1904) 21 ROC 617 (‘Quaker’) The Mecca decision suggests that the trade mark: should be evaluated in the context of the ordinary people it might offend, and "
CASE/1909/RPC/26/837,(1909) 26 RPC 837,reported,1909,RPC,,26,837,1,,,,,TMM/Part22/9/9/3,TMM/Part22/9,Part22,Part 22 Section 41 - Capable of Distinguishing,22.9. Words,Part 22 Section 41 - Capable of Distinguishing > 22.9. Words > 9.3 Quality,4,489,1,https://manuals.ipaustralia.gov.au/trademark/9.-words,"ted to distinguish some goods or services but may be capable of distinguishing others. For guidance, see Joseph Crosfield & Sons Ltd's Appn (1909) 26 RPC 837, (‘Perfection’); Corning Glass Works Appn (1985) IPD 8061 (UK) (‘Magic’); Hawke (Aust) Ltd's Appn (1988) AIPC 90-525 (‘Timeless Creation’);"
CASE/1912/RPC/29/440,(1912) 29 RPC 440,reported,1912,RPC,,29,440,1,,,,,TMM/Part22/9/9/3,TMM/Part22/9,Part22,Part 22 Section 41 - Capable of Distinguishing,22.9. Words,Part 22 Section 41 - Capable of Distinguishing > 22.9. Words > 9.3 Quality,4,676,1,https://manuals.ipaustralia.gov.au/trademark/9.-words,s Works Appn (1985) IPD 8061 (UK) (‘Magic’); Hawke (Aust) Ltd's Appn (1988) AIPC 90-525 (‘Timeless Creation’); Thorne & Co Ltd v Sandow Ltd (1912) 29 RPC 440 (‘Health’).
CASE/1913/RPC/30/262,(1913) 30 RPC 262,reported,1913,RPC,,30,262,1,,,,,TMM/Part22/9/9/2,TMM/Part22/9,Part22,Part 22 Section 41 - Capable of Distinguishing,22.9. Words,Part 22 Section 41 - Capable of Distinguishing > 22.9. Words > 9.2 Kind,3,741,1,https://manuals.ipaustralia.gov.au/trademark/9.-words,opper case (1973) 128 CLR 417 (‘Whopper’); Matsushita Electrical Industrial Co Ltd's Appn (1989) 15 IPR 125 (‘Junior’); Colgate & Co's Appn (1913) 30 RPC 262 (‘Ribbon Dental Cream’); Associated Biscuits Ltd's Appn (1984) IPD 6133 (‘Sticklets’); Red Tulip Chocolates Pty Ltd's Appn (1984) 2 IPR 388
CASE/1913/RPC/30/660,(1913) 30 RPC 660,reported,1913,RPC,,30,660,1,,,,,TMM/Part21/6/6/2,TMM/Part21/6,Part21,Part 21 Non-traditional Signs,21.6. Sound (auditory) trade marks,Part 21 Non-traditional Signs > 21.6. Sound (auditory) trade marks > 6.2 Registrability of sounds as trade marks,3,740,1,https://manuals.ipaustralia.gov.au/trademark/6.-sound-auditory-trade-marks,k is to assess whether it is inherently adapted to distinguish the applicant's goods/services. The words of Lord Parker (W & G Du Cros Appn (1913) 30 RPC 660 at 672) should be taken into account here. The extent to which the trade mark is adapted to distinguish the applicant's goods and/or servic
CASE/1914/RPC/31/79,(1914) 31 RPC 79,reported,1914,RPC,,31,79,1,,,,,TMM/Part26/6/6/9,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.9 Type of customer,20,42,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,"As was pointed out in Crook's Trade Mark, (1914) 31 RPC 79 at 85, a trade mark should not be barred from registration because “unusually stupid people, fools or idiots would be deceived”. A similar "
